yourlist:M202009175C475328CEF75220C360D524E9D456CE457C3CW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q08357	Q08357	S20A2_HUMAN	reviewed	Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2) (GLVR-2) (Phosphate transporter 2) (PiT-2) (Pit2) (hPit2) (Solute carrier family 20 member 2)	SLC20A2 GLVR2 PIT2	Homo sapiens (Human)	652
Q9Y2R9	Q9Y2R9	RT07_HUMAN	reviewed	28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt) (Mitochondrial small ribosomal subunit protein uS7m) (bMRP-27a) (bMRP27a)	MRPS7	Homo sapiens (Human)	242
P29966	P29966	MARCS_HUMAN	reviewed	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS MACS PRKCSL	Homo sapiens (Human)	332
P49327	P49327	FAS_HUMAN	reviewed	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Homo sapiens (Human)	2511
Q7Z2T5	Q7Z2T5	TRM1L_HUMAN	reviewed	TRMT1-like protein (EC 2.1.1.-)	TRMT1L C1orf25 TRM1L MSTP070	Homo sapiens (Human)	733
P61962	P61962	DCAF7_HUMAN	reviewed	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)	DCAF7 HAN11 WDR68	Homo sapiens (Human)	342
P60709	P60709	ACTB_HUMAN	reviewed	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	Homo sapiens (Human)	375
P19338	P19338	NUCL_HUMAN	reviewed	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710
O60506	O60506	HNRPQ_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	623
O75348	O75348	VATG1_HUMAN	reviewed	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)	ATP6V1G1 ATP6G ATP6G1 ATP6J	Homo sapiens (Human)	118
Q00839	Q00839	HNRPU_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825
Q9UFW8	Q9UFW8	CGBP1_HUMAN	reviewed	CGG triplet repeat-binding protein 1 (CGG-binding protein 1) (20 kDa CGG-binding protein) (p20-CGGBP DNA-binding protein)	CGGBP1 CGGBP	Homo sapiens (Human)	167
P00374	P00374	DYR_HUMAN	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	DHFR	Homo sapiens (Human)	187
P61006	P61006	RAB8A_HUMAN	reviewed	Ras-related protein Rab-8A (Oncogene c-mel)	RAB8A MEL RAB8	Homo sapiens (Human)	207
O43663	O43663	PRC1_HUMAN	reviewed	Protein regulator of cytokinesis 1	PRC1	Homo sapiens (Human)	620
O43399	O43399	TPD54_HUMAN	reviewed	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	Homo sapiens (Human)	206
O15162	O15162	PLS1_HUMAN	reviewed	Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (MmTRA1b)	PLSCR1	Homo sapiens (Human)	318
P31153	P31153	METK2_HUMAN	reviewed	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	MAT2A AMS2 MATA2	Homo sapiens (Human)	395
P15531	P15531	NDKA_HUMAN	reviewed	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1 NDPKA NM23	Homo sapiens (Human)	152
Q14240	Q14240	IF4A2_HUMAN	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	EIF4A2 DDX2B EIF4F	Homo sapiens (Human)	407
Q9NQ84	Q9NQ84	GPC5C_HUMAN	reviewed	G-protein coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3)	GPRC5C RAIG3 PSEC0087	Homo sapiens (Human)	441
Q14558	Q14558	KPRA_HUMAN	reviewed	Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)	PRPSAP1	Homo sapiens (Human)	356
Q9D312	Q9D312	K1C20_MOUSE	reviewed	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20)	Krt20	Mus musculus (Mouse)	431
P21399	P21399	ACOC_HUMAN	reviewed	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1 IREB1	Homo sapiens (Human)	889
P14927	P14927	QCR7_HUMAN	reviewed	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	UQCRB UQBP	Homo sapiens (Human)	111
Q9ULW0	Q9ULW0	TPX2_HUMAN	reviewed	Targeting protein for Xklp2 (Differentially expressed in cancerous and non-cancerous lung cells 2) (DIL-2) (Hepatocellular carcinoma-associated antigen 519) (Hepatocellular carcinoma-associated antigen 90) (Protein fls353) (Restricted expression proliferation-associated protein 100) (p100)	TPX2 C20orf1 C20orf2 DIL2 HCA519	Homo sapiens (Human)	747
Q96QR8	Q96QR8	PURB_HUMAN	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB	Homo sapiens (Human)	312
P46934	P46934	NEDD4_HUMAN	reviewed	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	NEDD4 KIAA0093 NEDD4-1 PIG53	Homo sapiens (Human)	1319
Q04837	Q04837	SSBP_HUMAN	reviewed	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	SSBP1 SSBP	Homo sapiens (Human)	148
Q9NVI1	Q9NVI1	FANCI_HUMAN	reviewed	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794	Homo sapiens (Human)	1328
Q8N5M4	Q8N5M4	TTC9C_HUMAN	reviewed	Tetratricopeptide repeat protein 9C (TPR repeat protein 9C)	TTC9C	Homo sapiens (Human)	171
P13647	P13647	K2C5_HUMAN	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	590
Q9H1X3	Q9H1X3	DJC25_HUMAN	reviewed	DnaJ homolog subfamily C member 25	DNAJC25	Homo sapiens (Human)	360
Q9P0L0	Q9P0L0	VAPA_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	VAPA VAP33	Homo sapiens (Human)	249
Q9C0C2	Q9C0C2	TB182_HUMAN	reviewed	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)	1729
P06493	P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	297
Q9BPZ3	Q9BPZ3	PAIP2_HUMAN	reviewed	Polyadenylate-binding protein-interacting protein 2 (PABP-interacting protein 2) (PAIP-2) (Poly(A)-binding protein-interacting protein 2)	PAIP2 PAIP2A HSPC218	Homo sapiens (Human)	127
Q16778	Q16778	H2B2E_HUMAN	reviewed	Histone H2B type 2-E (H2B-clustered histone 21) (Histone H2B-GL105) (Histone H2B.q) (H2B/q)	H2BC21 H2BFQ HIST2H2BE	Homo sapiens (Human)	126
O75496	O75496	GEMI_HUMAN	reviewed	Geminin	GMNN	Homo sapiens (Human)	209
Q9NQW6	Q9NQW6	ANLN_HUMAN	reviewed	Anillin	ANLN	Homo sapiens (Human)	1124
P62249	P62249	RS16_HUMAN	reviewed	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16	Homo sapiens (Human)	146
P10412	P10412	H14_HUMAN	reviewed	Histone H1.4 (Histone H1b) (Histone H1s-4)	H1-4 H1F4 HIST1H1E	Homo sapiens (Human)	219
Q13308	Q13308	PTK7_HUMAN	reviewed	Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)	PTK7 CCK4	Homo sapiens (Human)	1070
P05783	P05783	K1C18_HUMAN	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430
Q9UH65	Q9UH65	SWP70_HUMAN	reviewed	Switch-associated protein 70 (SWAP-70)	SWAP70 KIAA0640 HSPC321	Homo sapiens (Human)	585
P16402	P16402	H13_HUMAN	reviewed	Histone H1.3 (Histone H1c) (Histone H1s-2)	H1-3 H1F3 HIST1H1D	Homo sapiens (Human)	221
P47897	P47897	SYQ_HUMAN	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	QARS1 QARS	Homo sapiens (Human)	775
Q6UW68	Q6UW68	TM205_HUMAN	reviewed	Transmembrane protein 205	TMEM205 UNQ501/PRO1018	Homo sapiens (Human)	189
Q2TAA5	Q2TAA5	ALG11_HUMAN	reviewed	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Asparagine-linked glycosylation protein 11 homolog) (Glycolipid 2-alpha-mannosyltransferase)	ALG11 GT8	Homo sapiens (Human)	492
Q13112	Q13112	CAF1B_HUMAN	reviewed	Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60) (M-phase phosphoprotein 7)	CHAF1B CAF1A CAF1P60 MPHOSPH7 MPP7	Homo sapiens (Human)	559
Q9GZR7	Q9GZR7	DDX24_HUMAN	reviewed	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	Homo sapiens (Human)	859
Q99988	Q99988	GDF15_HUMAN	reviewed	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	GDF15 MIC1 PDF PLAB PTGFB	Homo sapiens (Human)	308
Q9Y4D8	Q9Y4D8	HECD4_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4)	HECTD4 C12orf51 KIAA0614	Homo sapiens (Human)	3996
Q8IXI1	Q8IXI1	MIRO2_HUMAN	reviewed	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2 ARHT2 C16orf39	Homo sapiens (Human)	618
P50995	P50995	ANX11_HUMAN	reviewed	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	ANXA11 ANX11	Homo sapiens (Human)	505
Q14527	Q14527	HLTF_HUMAN	reviewed	Helicase-like transcription factor (EC 2.3.2.27) (EC 3.6.4.-) (DNA-binding protein/plasminogen activator inhibitor 1 regulator) (HIP116) (RING finger protein 80) (RING-type E3 ubiquitin transferase HLTF) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3) (Sucrose nonfermenting protein 2-like 3)	HLTF HIP116A RNF80 SMARCA3 SNF2L3 ZBU1	Homo sapiens (Human)	1009
Q9NX00	Q9NX00	TM160_HUMAN	reviewed	Transmembrane protein 160	TMEM160	Homo sapiens (Human)	188
Q8WUM9	Q8WUM9	S20A1_HUMAN	reviewed	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)	SLC20A1 GLVR1 PIT1	Homo sapiens (Human)	679
P78417	P78417	GSTO1_HUMAN	reviewed	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241
Q9TRI1	Q9TRI1	Q9TRI1_BOVIN	unreviewed	Inter-alpha-trypsin inhibitor HC2 component homolog (Fragment)		Bos taurus (Bovine)	20
P08865	P08865	RSSA_HUMAN	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	Homo sapiens (Human)	295
P02538	P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564
Q9H4B0	Q9H4B0	OSGP2_HUMAN	reviewed	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (O-sialoglycoprotein endopeptidase-like protein 1) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein OSGEPL1) (tRNA threonylcarbamoyladenosine biosynthesis protein OSGEPL1)	OSGEPL1 GCP1	Homo sapiens (Human)	414
Q9BQP7	Q9BQP7	MGME1_HUMAN	reviewed	Mitochondrial genome maintenance exonuclease 1 (EC 3.1.-.-)	MGME1 C20orf72 DDK1	Homo sapiens (Human)	344
Q9H552	Q9H552	Q9H552_HUMAN		Deleted.			
Q9H0X4	Q9H0X4	F234A_HUMAN	reviewed	Protein FAM234A (Protein ITFG3)	FAM234A C16orf9 ITFG3	Homo sapiens (Human)	552
P35869	P35869	AHR_HUMAN	reviewed	Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76)	AHR BHLHE76	Homo sapiens (Human)	848
Q53EL6	Q53EL6	PDCD4_HUMAN	reviewed	Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a)	PDCD4 H731	Homo sapiens (Human)	469
P31948	P31948	STIP1_HUMAN	reviewed	Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	STIP1	Homo sapiens (Human)	543
O75494	O75494	SRS10_HUMAN	reviewed	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
P10809	P10809	CH60_HUMAN	reviewed	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	Homo sapiens (Human)	573
P05784	P05784	K1C18_MOUSE	reviewed	Keratin, type I cytoskeletal 18 (Cytokeratin endo B) (Keratin D) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Krt18 Kerd Krt1-18	Mus musculus (Mouse)	423
Q99519	Q99519	NEUR1_HUMAN	reviewed	Sialidase-1 (EC 3.2.1.18) (Acetylneuraminyl hydrolase) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	NEU1 NANH	Homo sapiens (Human)	415
P61769	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
P02533	P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	472
Q9Y3B7	Q9Y3B7	RM11_HUMAN	reviewed	39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)	MRPL11 CGI-113	Homo sapiens (Human)	192
P14174	P14174	MIF_HUMAN	reviewed	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF GLIF MMIF	Homo sapiens (Human)	115
P30040	P30040	ERP29_HUMAN	reviewed	Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31)	ERP29 C12orf8 ERP28	Homo sapiens (Human)	261
P61201	P61201	CSN2_HUMAN	reviewed	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	COPS2 CSN2 TRIP15	Homo sapiens (Human)	443
